Token,POS,Frequency
long,ADV,2
better,ADV,2
knew,VERB,2
away,ADV,2
seem,VERB,2
at,ADV,2
i-,X,2
vault,NOUN,2
more,ADV,2
myself,PRON,2
in,ADV,2
sign,NOUN,2
shush,PROPN,2
shows,VERB,2
mistake,NOUN,2
quidditch,PROPN,2
attack,VERB,2
mirror,NOUN,2
voice,NOUN,2
set,VERB,2
voldemort,ADJ,2
its,PRON,2
that,ADV,2
quick,ADJ,2
two,NUM,2
lot,NOUN,2
course,NOUN,2
worry,VERB,2
tonight,NOUN,2
diary,NOUN,2
glass,NOUN,2
only,ADV,2
girl,NOUN,2
',PART,2
world,NOUN,2
ghost,NOUN,2
fawkes,PROPN,2
gave,VERB,2
talked,VERB,2
stranger,NOUN,2
odd,ADJ,2
few,ADJ,2
good,ADJ,2
talk,VERB,2
allowed,VERB,2
hassah,PROPN,2
filch,PROPN,2
enough,ADV,2
wrote,VERB,2
y,PROPN,2
ago,ADV,2
once,ADV,2
fire,NOUN,2
flee,VERB,2
elf,NOUN,2
fits,VERB,2
fang,X,2
die,VERB,2
tree,NOUN,2
guarding,NOUN,2
sound,VERB,2
hang,VERB,2
speak,VERB,2
happens,VERB,2
nearly,ADV,2
wo,AUX,2
nick,PROPN,2
night,NOUN,2
name,NOUN,2
aragog,NOUN,2
has,AUX,2
eye,NOUN,2
even,ADV,2
hasi,PROPN,2
ow,INTJ,2
their,PRON,2
past,ADP,2
exumai,PROPN,2
famous,ADJ,2
powers,NOUN,2
an,DET,2
great,ADJ,2
petrified,ADJ,1
petunia,NOUN,1
whoa,X,1
rictusempra,PROPN,1
yourself,PRON,1
whole,ADJ,1
yours,PRON,1
reflection,NOUN,1
percy,PROPN,1
returned,VERB,1
repeat,VERB,1
remain,VERB,1
yourselves,PRON,1
pays,VERB,1
past,ADJ,1
which,PRON,1
ready,ADJ,1
real,ADJ,1
realise,VERB,1
pay,VERB,1
reason,NOUN,1
while,SCONJ,1
paw,NOUN,1
reading,NOUN,1
question,NOUN,1
raids,NOUN,1
won,VERB,1
wood,NOUN,1
witches,NOUN,1
wondering,VERB,1
wonder,VERB,1
plotting,VERB,1
with,SCONJ,1
pocket,NOUN,1
possession,NOUN,1
post,NOUN,1
pleased,ADJ,1
pretending,VERB,1
press,VERB,1
woah,PROPN,1
powder,NOUN,1
wizardry,PROPN,1
wizard,NOUN,1
powerful,ADJ,1
presents,NOUN,1
promise,VERB,1
properly,ADV,1
quirrell,PROPN,1
wish,NOUN,1
wing,NOUN,1
wingardium,PROPN,1
wings,NOUN,1
pewter,NOUN,1
you're,PROPN,1
year,NOUN,1
y,X,1
phoenix,NOUN,1
place,NOUN,1
pull,VERB,1
writing,VERB,1
python,NOUN,1
platform,VERB,1
played,VERB,1
push,VERB,1
witchcraft,NOUN,1
playing,VERB,1
work,NOUN,1
thankful,ADJ,1
serve,VERB,1
whatever,PRON,1
turns,VERB,1
stranger,ADJ,1
straightaway,ADJ,1
stops,VERB,1
to-,ADV,1
toad,NOUN,1
stopped,VERB,1
took,VERB,1
toto,NOUN,1
stomachache,NOUN,1
touched,VERB,1
start,NOUN,1
staring,VERB,1
transferred,VERB,1
standard,ADJ,1
stand,VERB,1
sshhh,INTJ,1
sshh,PROPN,1
trapdoor,NOUN,1
spooky,ADJ,1
spoke,VERB,1
troll,PROPN,1
spell,NOUN,1
sounds,VERB,1
trolley,NOUN,1
sorting,VERB,1
sort,NOUN,1
trouble,NOUN,1
throw,VERB,1
strangle,VERB,1
strong,ADJ,1
these,PRON,1
the-,PRON,1
th,X,1
terrible,ADJ,1
tears,NOUN,1
teachers,NOUN,1
teacher,NOUN,1
teach,VERB,1
talking,VERB,1
then-,X,1
these,DET,1
taking,VERB,1
taken,VERB,1
take,NOUN,1
students,NOUN,1
thirteen,NUM,1
sweaty,NOUN,1
those,DET,1
suppose,VERB,1
though,ADV,1
sunday,PROPN,1
threw,VERB,1
summer,NOUN,1
such,DET,1
through,ADV,1
panic,VERB,1
stuff,NOUN,1
true,ADJ,1
sorcerer,NOUN,1
whatever,DET,1
somewhere,ADV,1
secret,ADJ,1
seamus,NOUN,1
wander,VERB,1
wanted,VERB,1
scared,ADJ,1
scar,NOUN,1
says,VERB,1
warning,NOUN,1
saved,VERB,1
same,ADJ,1
weak,ADJ,1
sacrifice,VERB,1
s,VERB,1
running,VERB,1
run,VERB,1
rude,ADJ,1
wear,VERB,1
wearing,VERB,1
weasley,PROPN,1
went,VERB,1
rock,NOUN,1
were-,VERB,1
roam,VERB,1
right,PROPN,1
right,NOUN,1
right,INTJ,1
wha,PROPN,1
w,X,1
w,NOUN,1
seeing,VERB,1
size,NOUN,1
ugly,ADJ,1
unicorn,NOUN,1
unicorns,NOUN,1
so,CCONJ,1
unknown,ADJ,1
until,SCONJ,1
snoring,VERB,1
snakeskin,NOUN,1
slytherin,VERB,1
useless,ADJ,1
slipped,VERB,1
using,VERB,1
sit,VERB,1
send,VERB,1
vaults,NOUN,1
simple,ADJ,1
similarities,NOUN,1
vernon,PROPN,1
vernon-,X,1
shift,VERB,1
shh,PROPN,1
very,ADV,1
village,NOUN,1
shaking,VERB,1
seven,NUM,1
serpent,NOUN,1
such,ADJ,1
limping,VERB,1
owned,VERB,1
dear,PROPN,1
crash,NOUN,1
credit,NOUN,1
cup,NOUN,1
curious,ADJ,1
danger,NOUN,1
dark,ADJ,1
days,NOUN,1
deadly,ADJ,1
death,NOUN,1
crabbe,NOUN,1
decent,ADJ,1
definitely,ADV,1
desire,VERB,1
diagon,PROPN,1
diagonally,ADV,1
different,ADJ,1
directly,ADV,1
diversion,NOUN,1
crabbe,PROPN,1
cousin,NOUN,1
capable,ADJ,1
chocolate,NOUN,1
care,VERB,1
case,NOUN,1
caught,VERB,1
centuries,NOUN,1
certain-,VERB,1
chance,NOUN,1
chase,NOUN,1
checkmate,NOUN,1
choose,VERB,1
coughing,VERB,1
christmas,PROPN,1
clear,VERB,1
clearly,ADV,1
close,VERB,1
cold,ADJ,1
coming,VERB,1
control,NOUN,1
corners,NOUN,1
does,VERB,1
don't-,PROPN,1
doomed,ADJ,1
explains,VERB,1
ever,ADV,1
every,DET,1
everyone,PRON,1
ew,PROPN,1
excellent,ADJ,1
exist,VERB,1
expect,VERB,1
expelled,VERB,1
eyes,NOUN,1
down,ADV,1
faces,NOUN,1
fact,NOUN,1
fancies,VERB,1
fast,ADV,1
faster,ADV,1
father,NOUN,1
fearsome,ADJ,1
feather,NOUN,1
eughhh,PROPN,1
escaped,VERB,1
equipped,VERB,1
entrance,NOUN,1
draco,PROPN,1
draught,NOUN,1
drinking,VERB,1
dudley,PROPN,1
dumbledore,NOUN,1
during,ADP,1
e5,PROPN,1
earlier,ADV,1
eatersfifteenth,ADJ,1
egg,NOUN,1
eggs,NOUN,1
either,ADV,1
either,CCONJ,1
eleven,NUM,1
elixir,NOUN,1
em,PRON,1
emptied,VERB,1
care,NOUN,1
camera,NOUN,1
fiendsflamelnicholas,PROPN,1
around,ADP,1
always,ADV,1
and-,NOUN,1
another,DET,1
answered,VERB,1
anyone,PRON,1
anyway,ADV,1
apparently,ADV,1
arm,NOUN,1
around,ADV,1
already,ADV,1
as,SCONJ,1
asked,VERB,1
asleep,ADJ,1
attacked,VERB,1
attacks,NOUN,1
attention,NOUN,1
aunt,NOUN,1
awaits,VERB,1
alright,ADJ,1
along,ADV,1
came,VERB,1
acknowledging,VERB,1
-,PROPN,1
?,PROPN,1
a,PRON,1
aahhhhh,PROPN,1
accepted,VERB,1
accidentally,ADV,1
according,VERB,1
accustomed,ADJ,1
act,VERB,1
along,ADP,1
admirers,NOUN,1
ahhh,INTJ,1
ahhhh,INTJ,1
ahhhh,PROPN,1
air,NOUN,1
albus,PROPN,1
alley,PROPN,1
almost,ADV,1
back,ADP,1
ball,NOUN,1
balls,NOUN,1
broom,NOUN,1
borrow,VERB,1
both,DET,1
bott,PROPN,1
breach,NOUN,1
bring,VERB,1
broke,VERB,1
broken,ADJ,1
broken,VERB,1
broomstick,NOUN,1
beans,NOUN,1
burma,PROPN,1
burning,VERB,1
business,NOUN,1
but,SCONJ,1
bye,INTJ,1
c,X,1
called,VERB,1
calm,VERB,1
borns,NOUN,1
bored,ADJ,1
books,NOUN,1
bones,NOUN,1
beasts,NOUN,1
bed,NOUN,1
behind,ADP,1
believe,VERB,1
believed,VERB,1
bertie,PROPN,1
besides,ADV,1
between,ADP,1
bird,NOUN,1
birds,NOUN,1
bitten,VERB,1
blast,NOUN,1
blood,NOUN,1
bloodthat,NOUN,1
blown,VERB,1
body,NOUN,1
bogies,NOUN,1
feel,VERB,1
finished,VERB,1
owlery,NOUN,1
making,VERB,1
london,PROPN,1
looks,VERB,1
loose,ADJ,1
lost-,X,1
loyal,ADJ,1
lucky,PROPN,1
lying,VERB,1
mail,NOUN,1
malfoy,ADJ,1
lockhart,NOUN,1
malfoys,NOUN,1
mandrake,NOUN,1
marvolo,PROPN,1
master,NOUN,1
match,NOUN,1
memory,NOUN,1
mention,VERB,1
message,NOUN,1
lockhart,PROPN,1
locked,ADJ,1
keeps,VERB,1
learned,VERB,1
keys,NOUN,1
kind,NOUN,1
knight,PROPN,1
knock,VERB,1
knocked,VERB,1
know,NOUN,1
knowing,VERB,1
land,NOUN,1
leaves,VERB,1
listen,VERB,1
let,AUX,1
letters,NOUN,1
letting,VERB,1
leviosa,PROPN,1
liar,VERB,1
library,NOUN,1
like,SCONJ,1
like,VERB,1
messages,NOUN,1
mind,PROPN,1
mine,NOUN,1
only,ADJ,1
nt,PART,1
number,NOUN,1
o'clock,NOUN,1
of,ADV,1
offend,VERB,1
office,NOUN,1
often,ADV,1
old,ADJ,1
open,VERB,1
miss,VERB,1
other,ADJ,1
others,NOUN,1
our,PRON,1
ourselves,PRON,1
outside,ADV,1
over,ADP,1
over,ADV,1
owl,NOUN,1
notice,VERB,1
norbert,PROPN,1
none,NOUN,1
noise,NOUN,1
missed,VERB,1
moaning,VERB,1
money,NOUN,1
month,NOUN,1
most,ADJ,1
move,NOUN,1
movement,NOUN,1
moving,VERB,1
mudblood,NOUN,1
mum,NOUN,1
murderer,NOUN,1
myrtle,NOUN,1
n,CCONJ,1
neck,NOUN,1
neville,NOUN,1
neville,PROPN,1
no,ADJ,1
key,NOUN,1
keep,VERB,1
first,ADJ,1
h,PROPN,1
goodbye,NOUN,1
got,AUX,1
goyle,PROPN,1
graveyard,NOUN,1
greatest,ADJ,1
gryffindor,NOUN,1
guarding,VERB,1
guessing,VERB,1
hair,NOUN,1
goblins,NOUN,1
half,DET,1
halloween,PROPN,1
hand,NOUN,1
hands,NOUN,1
happen,VERB,1
happening,VERB,1
happy,ADJ,1
harp,NOUN,1
godric,ADJ,1
girls,NOUN,1
justin-,X,1
forget,VERB,1
flamelwhere,X,1
flavour,NOUN,1
floo,NOUN,1
flooded,VERB,1
floor,NOUN,1
flying,VERB,1
fool,NOUN,1
for,SCONJ,1
framed,VERB,1
giant,ADJ,1
fraud,NOUN,1
fred,PROPN,1
friend,NOUN,1
frogs,NOUN,1
full,ADJ,1
fur,NOUN,1
george,PROPN,1
get,AUX,1
hassa,PROPN,1
hat,NOUN,1
having,VERB,1
instant,ADJ,1
idea,NOUN,1
immediately,ADV,1
important,ADJ,1
inform,VERB,1
information,NOUN,1
innocent,ADJ,1
inside,ADP,1
insist,VERB,1
interested,ADJ,1
he-,PUNCT,1
invisible,ADJ,1
is,ADV,1
is,VERB,1
itself,PRON,1
jump,VERB,1
just,PROPN,1
just-,VERB,1
justin,PROPN,1
ice,NOUN,1
i've,PROPN,1
i'm,PROPN,1
hurry,VERB,1
heading,VERB,1
headless,ADJ,1
healing,NOUN,1
help,NOUN,1
herbology,NOUN,1
hey,PROPN,1
hi,INTJ,1
hide,VERB,1
home,ADV,1
home,NOUN,1
horrible,ADJ,1
hospital,NOUN,1
hour,NOUN,1
hours,NOUN,1
huh,INTJ,1
hundred,NUM,1
hundreds,NOUN,1
zoo,NOUN,1
