Token,POS,Frequency
obeys,VERB,1
myself,PRON,1
oaf,PROPN,1
noble,ADJ,1
night,NOUN,1
needing,VERB,1
nearly,ADV,1
've,AUX,1
like,VERB,1
least,ADJ,1
few,ADJ,1
get,VERB,1
haha,PROPN,1
hagrid,VERB,1
guess,VERB,1
grows,VERB,1
grow,VERB,1
great,ADJ,1
gain,VERB,1
has,AUX,1
future,NOUN,1
funny,PROPN,1
finish,VERB,1
filthy,ADJ,1
filch,PROPN,1
fifty,NUM,1
hands,NOUN,1
hat,NOUN,1
lead,VERB,1
its,PRON,1
kind,NOUN,1
killing,VERB,1
killed,VERB,1
kept,VERB,1
keep,VERB,1
join,VERB,1
innocent,ADJ,1
hear,VERB,1
.,PROPN,1
horrific,ADJ,1
home,NOUN,1
his,PRON,1
here,ADV,1
heir,NOUN,1
months,NOUN,1
