Token,POS,Frequency
wizardry,PROPN,1
wizard,NOUN,1
with,SCONJ,1
acknowledging,VERB,1
witches,NOUN,1
witchcraft,NOUN,1
wish,NOUN,1
wings,NOUN,1
wing,NOUN,1
wanted,VERB,1
always,ADV,1
wander,VERB,1
an,DET,1
troll,PROPN,1
at,ADV,1
trapdoor,NOUN,1
toto,NOUN,1
took,VERB,1
too,ADV,1
attention,NOUN,1
aunt,NOUN,1
toad,NOUN,1
to-,ADV,1
away,ADV,1
back,ADP,1
through,ADP,1
car,NOUN,1
though,ADV,1
those,PRON,1
those,DET,1
bathroom,NOUN,1
beans,NOUN,1
asleep,ADJ,1
turns,VERB,1
two,NUM,1
vaults,NOUN,1
and-,NOUN,1
w,NOUN,1
voldemort,PROPN,1
another,DET,1
voldemort,ADJ,1
village,NOUN,1
very,ADV,1
vernon,PROPN,1
anyone,PRON,1
ugly,ADJ,1
us,PRON,1
apparently,ADV,1
until,SCONJ,1
unknown,ADJ,1
unicorns,NOUN,1
unicorn,NOUN,1
around,ADV,1
uncle,PROPN,1
same,ADJ,1
cat,NOUN,1
sacrifice,VERB,1
last,ADJ,1
like,VERB,1
like,SCONJ,1
fang,X,1
father,NOUN,1
liar,VERB,1
letters,NOUN,1
feather,NOUN,1
left,VERB,1
learned,VERB,1
feel,VERB,1
just,PROPN,1
fiendsflamelnicholas,PROPN,1
know,NOUN,1
knocked,VERB,1
knock,VERB,1
knight,PROPN,1
fifty,NUM,1
kind,NOUN,1
keys,NOUN,1
key,NOUN,1
limping,VERB,1
fancies,VERB,1
listen,VERB,1
living,VERB,1
ew,PROPN,1
mcgonagall,PROPN,1
maybe,ADV,1
may,AUX,1
match,NOUN,1
many,ADJ,1
malfoy,PROPN,1
explains,VERB,1
faces,NOUN,1
mail,NOUN,1
fact,NOUN,1
made,VERB,1
lying,VERB,1
lucky,PROPN,1
lot,NOUN,1
lost,VERB,1
family,NOUN,1
london,PROPN,1
locked,ADJ,1
keeps,VERB,1
fire,NOUN,1
even,ADV,1
got,AUX,1
frogs,NOUN,1
girls,NOUN,1
hide,VERB,1
hey,PROPN,1
goblins,NOUN,1
herbology,NOUN,1
goodbye,NOUN,1
heard,VERB,1
hear,VERB,1
graveyard,NOUN,1
jump,VERB,1
having,VERB,1
guarding,VERB,1
guessing,VERB,1
harp,NOUN,1
happy,ADJ,1
h,PROPN,1
happening,VERB,1
had,AUX,1
hands,NOUN,1
home,ADV,1
house,NOUN,1
forget,VERB,1
hundred,NUM,1
first,ADJ,1
first,ADV,1
fits,VERB,1
is,ADV,1
invisible,ADJ,1
flamelwhere,X,1
interested,ADJ,1
insist,VERB,1
inform,VERB,1
in,ADV,1
flavour,NOUN,1
important,ADJ,1
immediately,ADV,1
follow,VERB,1
i've,PROPN,1
i'm,PROPN,1
fool,NOUN,1
hurry,VERB,1
hungry,ADJ,1
every,DET,1
meet,VERB,1
s,VERB,1
percy,PROPN,1
possession,NOUN,1
pocket,NOUN,1
pleased,ADJ,1
playing,VERB,1
played,VERB,1
chocolate,NOUN,1
choose,VERB,1
pewter,NOUN,1
petunia,NOUN,1
christmas,PROPN,1
over,ADP,1
pays,VERB,1
pay,VERB,1
paw,NOUN,1
cloak,NOUN,1
past,ADJ,1
coming,VERB,1
owned,VERB,1
owlery,NOUN,1
owl,NOUN,1
post,NOUN,1
checkmate,NOUN,1
presents,NOUN,1
press,VERB,1
run,VERB,1
care,NOUN,1
right,NOUN,1
halloween,PROPN,1
right,ADJ,1
returned,VERB,1
reason,NOUN,1
catch,VERB,1
real,ADJ,1
quirrell,PROPN,1
quiet,ADJ,1
cauldron,NOUN,1
quick,ADJ,1
question,NOUN,1
put,VERB,1
push,VERB,1
properly,ADV,1
professor,PROPN,1
chance,NOUN,1
course,NOUN,1
crash,NOUN,1
message,NOUN,1
either,ADV,1
earlier,ADV,1
n,CCONJ,1
eatersfifteenth,ADJ,1
egg,NOUN,1
eggs,NOUN,1
mum,NOUN,1
muggles,NOUN,1
muggle,NOUN,1
mr,PROPN,1
move,NOUN,1
cup,NOUN,1
more,ADJ,1
money,NOUN,1
either,CCONJ,1
miss,VERB,1
mirror,NOUN,1
elixir,NOUN,1
mine,NOUN,1
emptied,VERB,1
equipped,VERB,1
name,NOUN,1
e5,PROPN,1
during,ADP,1
neville,NOUN,1
curious,ADJ,1
danger,NOUN,1
dark,ADJ,1
dead,ADJ,1
often,ADV,1
dear,PROPN,1
of,ADV,1
desire,VERB,1
did,VERB,1
number,NOUN,1
now,ADV,1
die,VERB,1
norbert,PROPN,1
diversion,NOUN,1
does,VERB,1
night,NOUN,1
draco,PROPN,1
drinking,VERB,1
neville,PROPN,1
yourselves,PRON,1
